TaskID,Milestone,Module,Task,Dependencies,Owner,EstDays,Priority,AcceptanceCriteria
T032,M2,TimeCalc,Implement grace period state machine in timecalc/grace.go,T007,Controller-Designer,1.0,P0,applyGracePeriod(spec status effectiveReplicas now) returns finalReplicas and expiryTime
T033,M2,TimeCalc,Write unit tests for grace period logic,T032,Controller-Designer,1.0,P0,Tests: no grace on scale-up; grace starts on scale-down; grace expires after duration; grace cancels on scale-up
T034,M2,Controller,Integrate grace period into Reconcile after effectiveReplicas,T032-T014,Controller-Designer,0.5,P0,Reconcile calls applyGracePeriod; uses finalReplicas for PATCH; updates status.gracePeriodExpiry
T035,M2,Controller,Test controller restart during grace period,T034-T026,Test-Engineer,0.5,P1,Envtest: start grace; stop controller; advance time; restart; verify grace still respected
T036,M2,TimeCalc,Implement cross-midnight window detection in timecalc/matcher.go,T007,Controller-Designer,1.0,P0,Enhance window matching: if end < start check current day and yesterday for match
T037,M2,TimeCalc,Write unit tests for cross-midnight windows,T036,Controller-Designer,1.0,P0,Tests: Friday 22:00-02:00 matches Fri 23:00 and Sat 01:00; does not match Sat 03:00
T038,M2,Controller,Add pause field handling to Reconcile,T012,Controller-Designer,0.5,P0,If spec.pause==true compute effectiveReplicas update status emit event but skip PATCH
T039,M2,StatusWriter,Add Reconciling and Degraded conditions to statuswriter,T016,Controller-Designer,1.0,P1,UpdateStatus sets all three conditions (Ready Reconciling Degraded) with reasons from STATUS-CONDITIONS.md
T040,M2,EventRecorder,Create events package with EmitScaleUp/Down/Skipped,T003,Observability-Designer,1.0,P1,EmitScaleUp(recorder tws from to window reason); EmitScaledDown(...); EmitScalingSkipped(...)
T041,M2,EventRecorder,Implement 5-minute event deduplication,T040,Observability-Designer,0.5,P1,Store last event timestamp+fields per TWS; skip if same event within 5 minutes
T042,M2,EventRecorder,Integrate event emission into Reconcile,T040-T015,Controller-Designer,0.5,P1,Reconcile emits ScaledUp when replicas increase; ScaledDown when decrease; ScalingSkipped when paused
T043,M2,Controller,Implement requeue scheduling with jitter and boundary,T009,Controller-Designer,1.0,P1,computeRequeueAfter(nextBoundary now) returns duration with jitter(5-25s) quantized to 10s min 30s max 24h
T044,M2,Testing,Add envtest scenarios for grace pause cross-midnight,T034-T038,Test-Engineer,2.0,P1,Envtest: grace period scenario; pause scenario; cross-midnight scenario; all pass
T045,M2,RBAC,Add ClusterRole for cross-namespace scaling,T020,Security-Designer,0.5,P0,config/rbac/clusterrole.yaml with get/list/watch deployments in all namespaces
T046,M2,Docs,Document grace period pause cross-midnight in CONCEPTS.md,T031,Docs-Designer,1.0,P1,CONCEPTS.md sections for each feature with examples
T047,M3,TimeCalc,Implement holiday evaluation in timecalc/holiday.go,T007,Controller-Designer,1.0,P0,evaluateHoliday(holidayMap date mode windows defaultReplicas) returns replicas considering holiday
T048,M3,TimeCalc,Write unit tests for holiday modes,T047,Controller-Designer,1.0,P0,Tests: ignore (use normal window); treat-as-closed (use defaultReplicas); treat-as-open (use max window replicas)
T049,M3,Controller,Load holiday ConfigMap in Reconcile with caching,T047,Controller-Designer,1.0,P0,If spec.holidays.sourceRef load ConfigMap; parse dates into map; cache in controller struct; handle missing gracefully
T050,M3,Controller,Integrate holiday evaluation before window matching,T047-T049,Controller-Designer,0.5,P0,Reconcile calls evaluateHoliday; if holiday applies use holiday replicas instead of window replicas
T051,M3,EventRecorder,Add WindowOverride and HolidayDetected events,T040,Observability-Designer,0.5,P1,EmitWindowOverride(date mode replicas normalWindow); EmitHolidayDetected(date source mode)
T052,M3,Controller,Emit holiday events when holiday detected,T051-T050,Controller-Designer,0.25,P1,Reconcile emits HolidayDetected at start of holiday day; emits WindowOverride when overriding window
T053,M3,Testing,Create holiday test fixtures (ConfigMap + TWS),T049,Test-Engineer,0.5,P1,test/fixtures/holiday-configmap.yaml with sample dates; TWS with each holiday mode
T054,M3,Testing,Add envtest scenarios for holiday modes,T050-T053,Test-Engineer,1.0,P1,Envtest: test each mode (ignore closed open); test missing ConfigMap; all pass
T055,M3,Samples,Create holiday example YAML in config/samples/,T053,Docs-Designer,0.5,P1,config/samples/with-holidays.yaml showing treat-as-closed mode with ConfigMap reference
T056,M4,Metrics,Define Prometheus metrics in metrics/metrics.go,T003,Observability-Designer,1.0,P0,Define counters (scale_events_total) gauges (current_state effective_replicas) histograms (reconcile_duration_seconds)
T057,M4,Metrics,Register metrics in init and expose on /metrics,T056,Observability-Designer,0.5,P0,Metrics registered; controller exposes /metrics endpoint on port 8080
T058,M4,Metrics,Create RecordScaleEvent/StateChange/ReconcileDuration functions,T056,Observability-Designer,0.5,P1,Functions increment counters set gauges with labels (tws_name namespace window state)
T059,M4,Controller,Integrate metrics recording into Reconcile,T058-T015,Controller-Designer,0.5,P1,Reconcile records reconcile duration at end; records scale events; updates state gauge
T060,M4,Logging,Add structured logging with correlation IDs to Reconcile,T012,Controller-Designer,1.0,P1,Each reconcile generates correlation ID; logs include correlationID tws namespace generation
T061,M4,Observability,Create Grafana dashboard JSON for TWS metrics,T056,Observability-Designer,1.0,P2,Dashboard panels: current state effective replicas scale events over time reconcile duration
T062,M4,Observability,Write Prometheus alerting rules,T056,Observability-Designer,0.5,P2,Alert rules: Degraded for >10min; Ready=False for >30min; Reconciling for >5min
T063,M4,Docs,Document metrics and logs in OPERATIONS.md,T060-T062,Docs-Designer,1.0,P1,OPERATIONS.md lists all metrics meanings labels; log format examples; alert rules
T064,M5,Testing,Write E2E test scenario: office hours,T030,Test-Engineer,1.0,P0,E2E test in test/e2e/: creates TWS with 09:00-17:00; fast-forwards time; verifies scaling; cleans up
T065,M5,Testing,Write E2E test scenario: cross-midnight,T037-T064,Test-Engineer,1.0,P0,E2E test: TWS with 22:00-02:00 window; fast-forward through midnight; verify scaling at 23:00 and 01:00
T066,M5,Testing,Write E2E test scenario: pause behavior,T038-T064,Test-Engineer,1.0,P0,E2E test: create TWS; scale Deployment manually; pause TWS; verify no correction; unpause; verify correction
T067,M5,Testing,Create DST spring forward test with fixed date,T008,Test-Engineer,1.0,P1,Unit test: date 2025-03-09 02:30:00; window 01:00-03:00; verify window duration affected correctly
T068,M5,Testing,Create DST fall back test with fixed date,T008,Test-Engineer,1.0,P1,Unit test: date 2025-11-02 02:30:00; window 01:00-03:00; verify window duration extended correctly
T069,M5,Testing,Test manual drift correction scenario,T015-T064,Test-Engineer,0.5,P1,E2E test: TWS running; manually scale Deployment to different replicas; wait for reconcile; verify correction
T070,M5,Docs,Complete README.md with all features,T031,Docs-Designer,1.0,P0,README updated with: grace period holidays pause metrics cross-midnight; quick start still <15min
T071,M5,Docs,Write TROUBLESHOOTING.md with common issues,None,Docs-Designer,1.0,P0,TROUBLESHOOTING.md covers: timezone errors target not found RBAC issues logs analysis metrics
T072,M5,Docs,Create CONCEPTS.md explaining time windows and state machine,T046,Docs-Designer,1.5,P0,CONCEPTS.md explains: windows DST grace-period holidays state-transitions with diagrams
T073,M5,Release,Build and tag container image v0.1.0,T023,DevOps,0.5,P0,Docker build and push to registry with tag v0.1.0; image pulls successfully
T074,M5,Release,Generate all-in-one install YAML,T025,DevOps,0.5,P0,kubectl kustomize config/default > kyklos-v0.1.0.yaml; single file installs CRD RBAC controller
T075,M5,Release,Create GitHub release with notes,T073-T074,DevOps,0.5,P0,GitHub release v0.1.0 with: container image link install YAML release notes (features known-issues)
